Name,Terms,Born,Died,Party
George Washington,4/30/1789-3/4/1797,2/22/1732,12/14/1799,
John Adams,3/4/1797-3/4/1801,10/30/1735,7/4/1826,Federalist
Thomas Jefferson,3/4/1801-3/4/1809,4/13/1743,7/4/1826,Democratic-Republican
James Madison,3/4/1809-3/4/1817,3/16/1751,6/28/1836,Democratic-Republican
James Monroe,3/4/1817-3/4/1825,4/28/1758,7/4/1831,Democratic-Republican
John Quincy Adams,3/4/1825-3/4/1829,7/11/1767,2/23/1848,Federalist
Andrew Jackson,3/4/1829-3/4/1837,3/15/1767,6/8/1845,Democrat
Martin Van Buren,3/4/1837-3/4/1841,12/5/1782,7/24/1862,Democratic-Republican
William Henry Harrison,3/4/1841-4/4/1841,2/9/1773,4/4/1841,Whig
John Tyler,4/4/1841-3/4/1845,3/29/1790,1/18/1862,Whig
James K. Polk,3/4/1845-3/4/1849,11/2/1795,6/15/1849,Democrat
Zachary Taylor,3/4/1849-7/9/1850,11/24/1784,7/9/1850,Whig
Millard Fillmore,7/9/1850-3/4/1853,1/7/1800,3/8/1874,Whig
Franklin Pierce,3/4/1853-3/4/1857,11/23/1804,10/8/1869,Democrat
James Buchanan,3/4/1857-3/4/1861,4/23/1791,6/1/1868,Democrat
Abraham Lincoln,3/4/1861-4/15/1865,2/12/1809,4/15/1865,Republican
Andrew Johnson,4/15/1865-3/4/1869,12/29/1808,7/31/1875,Democrat
Ulysses S. Grant,3/4/1869-3/4/1877,4/27/1822,7/23/1885,Republican
Rutherford B. Hayes,3/4/1877-3/4/1881,10/4/1822,1/17/1893,Republican
James A. Garfield,3/4/1881-9/19/1881,11/19/1831,9/19/1881,Republican
Chester A. Arthur,9/19/1881-3/4/1885,10/5/1829,11/18/1886,Republican
Grover Cleveland,"3/4/1885-3/4/1889, 3/4/1893-3/4/1897",3/18/1837,6/24/1908,Democrat
Benjamin Harrison,3/4/1889-3/4/1893,8/20/1833,3/13/1901,Republican
William McKinley,3/4/1897-9/14/1901,1/29/1843,9/14/1901,Republican
Theodore Roosevelt,9/14/1901-3/4/1909,10/27/1858,1/6/1919,Republican
William Howard Taft,3/4/1909-3/4/1913,9/15/1857,3/8/1930,Republican
Woodrow Wilson,3/4/1913-3/4/1921,12/28/1856,2/3/1924,Democrat
Warren G. Harding,3/4/1921-8/2/1923,11/2/1865,8/2/1923,Republican
Calvin Coolidge,8/2/1923-3/4/1929,7/4/1872,1/5/1933,Republican
Herbert Hoover,3/4/1929-3/4/1933,8/10/1874,10/20/1964,Republican
Franklin D. Roosevelt,3/4/1933-4/12/1945,1/30/1882,4/12/1945,Democrat
Harry S. Truman,4/12/1945-1/20/1953,5/8/1884,12/26/1972,Democrat
Dwight D. Eisenhower,1/20/1953-1/20/1961,10/14/1890,3/28/1969,Republican
John F. Kennedy,1/20/1961-11/22/1963,5/29/1917,11/22/1963,Democrat
Lyndon B. Johnson,11/22/1963-1/20/1969,8/27/1908,1/22/1973,Democrat
Richard Nixon,1/20/1969-8/9/1974,1/9/1913,4/12/1994,Republican
Gerald Ford,8/9/1974-1/20/1977,7/14/1913,12/26/2006,Republican
Jimmy Carter,1/20/1977-1/20/1981,10/1/1924,,Democrat
Ronald Reagan,1/20/1981-1/20/1989,2/6/1911,6/5/2004,Republican
George H. W. Bush,1/20/1989-1/20/1993,6/12/1924,,Republican
Bill Clinton,1/20/1993-1/20/2001,8/19/1946,,Democrat
George W. Bush,1/20/2001-1/20/2009,7/6/1946,,Republican
Barack Obama,1/20/2009-1/20/2017,8/4/1961,,Democrat
Donald J. Trump,1/20/2017-1/20/2021,6/14/1946,,Republican
Joseph R. Biden,1/20/2021-,11/20/1942,,Democrat